,deprotonated microstate ID,protonated microstate ID,deprotonated microstate smiles,protonated microstate smiles,AM1BCC partial charge (prot. atom),AM1BCC partial charge (deprot. atom),AM1BCC partial charge (prot. atoms 1 bond away),AM1BCC partial charge (deprot. atoms 1 bond away),AM1BCC partial charge (prot. atoms 2 bond away),AM1BCC partial charge (deprot. atoms 2 bond away),Gasteiger partial charge (prot. atom),Gasteiger partial charge (deprot. atom),Gasteiger partial charge (prot. atoms 1 bond away),Gasteiger partial charge (deprot. atoms 1 bond away),Gasteiger partial charge (prot. atoms 2 bond away),Gasteiger partial charge (deprot. atoms 2 bond away),Extented Hückel partial charge (prot. atom),Extented Hückel partial charge (deprot. atom),Extented Hückel partial charge (prot. atoms 1 bond away),Extented Hückel partial charge (deprot. atoms 1 bond away),Extented Hückel partial charge (prot. atoms 2 bond away),Extented Hückel partial charge (deprot. atoms 2 bond away),∆G_solv (kJ/mol) (prot-deprot),SASA (Shrake),SASA (Lee),Bond Order,Change in Enthalpy (kJ/mol) (prot-deprot),pKa,href,num ionizable groups,Weight,pKa source
0,"2,3,4,5-tetrabromopyridine_micro001","2,3,4,5-tetrabromopyridine_micro000",Brc1cnc(Br)c(Br)c1Br,Brc1c[nH+]c(Br)c(Br)c1Br,-0.06896999478340149,-0.6258450150489807,0.03855500090867281,0.4633224904537201,-0.012228753417730331,-0.24335625395178795,-0.20349839481546889,-0.24690911989588396,0.2221419223941602,0.08226855072057207,0.008523641168962277,-0.03934453776436588,-0.0532308636566983,-0.8769541741209466,0.3206345731271083,0.35046664302989083,0.028073973474753898,-0.18270550310725264,-0.5211691137512213,11.57614060994767,11.658379927163821,0.7119956784336549,0.007074808906565181,-2.47,OChem/ochem_database.pkl,1.0,391.69152388409003,
1,"2,3,4-tribromopyridine_micro001","2,3,4-tribromopyridine_micro000",Brc1ccnc(Br)c1Br,Brc1cc[nH+]c(Br)c1Br,-0.07195000350475311,-0.6279450058937073,0.028372501023113728,0.44437749683856964,-0.030851250514388084,-0.26627875305712223,-0.20453873905314968,-0.24809012090668944,0.21493458098835283,0.07509401952092572,-0.011843709823761341,-0.059821295640279284,-0.056853571233449675,-0.8741633065629836,0.3640076838810766,0.3923396013035132,-0.02988579737331715,-0.2415007709638001,1.0533578764465332,11.329839745906229,11.719449583500841,0.711795103959106,-0.02164227659436028,-1.07,OChem/ochem_database.pkl,1.0,313.78101181609003,
2,"2,4,6-tribromopyridine_micro001","2,4,6-tribromopyridine_micro000",Brc1cc(Br)nc(Br)c1,Brc1cc(Br)[nH+]c(Br)c1,-0.0689450055360794,-0.606380045413971,0.05866000056266785,0.45885998010635376,-0.01434900462627411,-0.244348007440567,-0.19315138028807816,-0.23394273984778585,0.2477617642124151,0.1080480106327204,-0.01491764750225052,-0.06419420260501843,-0.09949396806219278,-0.9168677132742603,0.5050507664367256,0.5348493128836986,-0.10398974153886405,-0.27474667366812044,-0.5424467162780751,11.57614060994767,11.74074775448139,0.709392208495851,-0.2105841687770387,-3.36,OChem/ochem_database.pkl,1.0,313.78101181609003,
3,3-Bromoquinoline_micro001,3-Bromoquinoline_micro000,Brc1cnc2ccccc2c1,Brc1c[nH+]c2ccccc2c1,-0.09146000444889069,-0.6516849994659424,0.041847498156130314,0.42068248987197876,-0.11105750128626823,-0.28140250220894814,-0.21005442527430904,-0.25508694277472177,0.1958499955902828,0.055986608001823146,-0.017589040495360482,-0.06328966274979343,-0.03529670401393614,-0.8580096799416179,0.3241856673528293,0.35394665006437487,0.02871458557517719,-0.18262981405141346,-0.7669157785278315,11.57614060994767,11.692119293033079,0.7155053579669938,-0.09442730334683472,2.69,OChem/ochem_database.pkl,1.0,207.97563774409,
4,"2,3,6-tribromopyridine_micro001","2,3,6-tribromopyridine_micro000",Brc1ccc(Br)c(Br)n1,Brc1ccc(Br)c(Br)[nH+]1,-0.06236499920487404,-0.6098350286483765,0.05939500033855438,0.47315748035907745,-0.0011129952967166902,-0.23531200140714645,-0.1922382041040055,-0.23282077829742523,0.2538237457523021,0.11405280877501911,-0.004100913812945672,-0.05330228522544735,-0.06791529373277022,-0.8855223176708656,0.4707971317736511,0.49974861815280003,-0.03196187135596686,-0.2016225747164493,0.3490916914184581,11.08353888186479,11.724435628034493,0.7112159450799089,-0.19518639349745207,-3.81,OChem/ochem_database.pkl,1.0,313.78101181609003,
5,5-bromoquinoline_micro001,5-bromoquinoline_micro000,Brc1cccc2ncccc12,Brc1cccc2[nH+]cccc12,-0.09611500799655914,-0.6565999984741211,0.034625002183020115,0.4044625014066696,-0.12411374971270561,-0.2950362525880337,-0.2110408636444993,-0.2562246288105635,0.18922490390909158,0.049394691556928036,-0.034374088847429624,-0.08017783386337443,-0.048489946903077376,-0.8710379063697334,0.34707610207983486,0.37666977868399054,-0.05423002538745686,-0.2660663567531627,-0.9056200358581563,11.08353888186479,11.530412982963966,0.7120714291389757,-0.08791435364182872,3.62,OChem/ochem_database.pkl,1.0,207.97563774409,
6,8-Bromoquinoline_micro001,8-Bromoquinoline_micro000,Brc1cccc2cccnc12,Brc1cccc2ccc[nH+]c12,-0.09334000945091248,-0.6434100270271301,0.040130000561475754,0.41391000151634216,-0.10855875350534916,-0.2761262580752373,-0.21010794934948618,-0.2550732956612041,0.19584345897017952,0.05594663645905806,-0.017587529191477623,-0.06328595426948416,-0.055173236068804525,-0.8597829016378856,0.3298292245621184,0.35831313773680434,0.027543240687065915,-0.17948642765481834,0.2732744843994155,11.57614060994767,11.857727350786941,0.7103201983711157,-0.28756493255474097,3.13,OChem/ochem_database.pkl,1.0,207.97563774409,
7,2-Bromopyridine_micro001,2-Bromopyridine_micro000,Brc1ccccn1,Brc1cccc[nH+]1,-0.07123500108718872,-0.637535035610199,0.016765001695603132,0.426007479429245,-0.05674000084400177,-0.30961375683546066,-0.20559192482665056,-0.24938057830237553,0.20657608851459902,0.06682715871757458,-0.03965873693080908,-0.08776981678171114,-0.029291645574854034,-0.8478084885532131,0.41194358060534975,0.43882041382060477,-0.05650254838098778,-0.26630755931222305,-1.6877381162475587,11.329839745906229,11.668758818017922,0.7089295451754093,-0.026574759367223807,0.9,OChem/ochem_database.pkl,1.0,157.95998768009,
8,3-Bromopyridine_micro001,3-Bromopyridine_micro000,Brc1cccnc1,Brc1ccc[nH+]c1,-0.07873000204563141,-0.6604450345039368,-0.009097499772906303,0.4146525114774704,-0.09123166898886363,-0.35312501589457196,-0.2168363424848586,-0.2635572203663069,0.17367910284545152,0.033888960524718445,-0.04412775674847327,-0.09014291821920939,0.026086939665332064,-0.7955898307055778,0.2708958535604833,0.2989957014048903,0.054816166506989256,-0.22465290257058948,0.10808344367065104,11.329839745906229,11.708941727702028,0.7080804797838217,0.18116774973579924,2.85,OChem/ochem_database.pkl,1.0,157.95998768009,
9,"3,4,5-tribromopyridine_micro001","3,4,5-tribromopyridine_micro000",Brc1cncc(Br)c1Br,Brc1c[nH+]cc(Br)c1Br,-0.07836000621318817,-0.6489250063896179,0.006805000826716423,0.43727001547813416,-0.0633700042963028,-0.30805500348409015,-0.21577832803071742,-0.2622930644582215,0.1820662489619688,0.04220110290429711,-0.007485041820344994,-0.053309883427280325,-0.011336644290316368,-0.8336886871002246,0.2200603332960292,0.24942838327889355,0.08692569812707818,-0.1927833914781786,-1.0724958682250971,11.329839745906229,11.615076481866522,0.7167214329681698,0.2230813013168679,0.45,OChem/ochem_database.pkl,1.0,313.78101181609003,
